categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,colonna_separata,modello,sport,colori
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE LIGHTNING Z8 MID - Scarpe da pallavolo - white/bellwether blue/bel air blue,"135,99","169,99",https://www.zalando.it/mizuno-wave-lightning-z8-mid-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0ho-a13.html,"['WAVE LIGHTNING Z8 MID ', ' Scarpe da pallavolo ', ' white/bellwether blue/bel air blue']",WAVE LIGHTNING Z8 MID , Scarpe da pallavolo , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EXCEED LIGHT 2 - da tennis per terra battuta - bellwether blue/white/fjord blue,"99,99","124,99",https://www.zalando.it/mizuno-wave-exceed-light-2-da-tennis-per-terra-battuta-bellwether-bluewhitefjord-blue-m2742a0jj-k11.html,"['WAVE EXCEED LIGHT 2 ', ' da tennis per terra battuta ', ' bellwether blue/white/fjord blue']",WAVE EXCEED LIGHT 2 , da tennis per terra battuta , bellwether blue/white/fjord blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV PRO - Scarpe da calcetto con tacchetti - black/galaxy silver/black,"77,99","129,99",https://www.zalando.it/mizuno-morelia-neo-iv-pro-scarpe-da-calcetto-con-tacchetti-blackgalaxy-silverblack-m2742a0hr-q11.html,"['MORELIA NEO IV PRO ', ' Scarpe da calcetto con tacchetti ', ' black/galaxy silver/black']",MORELIA NEO IV PRO , Scarpe da calcetto con tacchetti , black/galaxy silver/black
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE INSPIRE 21 - Scarpe da corsa su strada - dark blue/white,"159,99","159,99",https://www.zalando.it/mizuno-wave-inspire-21-scarpe-da-corsa-su-strada-dark-bluewhite-m2742a0l1-k11.html,"['WAVE INSPIRE 21 ', ' Scarpe da corsa su strada ', ' dark blue/white']",WAVE INSPIRE 21 , Scarpe da corsa su strada , dark blue/white
Scarpe Sportive Uomo Mizuno,MIZUNO,MONARCIDA NEO III - Scarpe da calcetto con tacchetti - white/neon green,"69,99","69,99",https://www.zalando.it/mizuno-monarcida-neo-iii-scarpe-da-calcetto-con-tacchetti-whiteneon-green-m2742a0jz-a11.html,"['MONARCIDA NEO III ', ' Scarpe da calcetto con tacchetti ', ' white/neon green']",MONARCIDA NEO III , Scarpe da calcetto con tacchetti , white/neon green
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EXCEED LIGHT 2 PADEL - Scarpe da padel - anthracite/mottled red/blue,"124,99","124,99",https://www.zalando.it/mizuno-wave-exceed-light-2-padel-scarpe-da-padel-anthracitemottled-redblue-m2742a0gn-q11.html,"['WAVE EXCEED LIGHT 2 PADEL ', ' Scarpe da padel ', ' anthracite/mottled red/blue']",WAVE EXCEED LIGHT 2 PADEL , Scarpe da padel , anthracite/mottled red/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MONARCIDA NEO III - Scarpe da calcetto con tacchetti - galaxy silver,"69,99","69,99",https://www.zalando.it/mizuno-monarcida-neo-iii-scarpe-da-calcetto-con-tacchetti-galaxy-silver-m2742a0jz-d11.html,"['MONARCIDA NEO III ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver']",MONARCIDA NEO III , Scarpe da calcetto con tacchetti , galaxy silver
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV Β ELITE - Scarpe da calcio con tacchetti - white/neon green/cool gray,"186,99","219,99",https://www.zalando.it/mizuno-morelia-neo-iv-elite-scarpe-da-calcio-con-tacchetti-whiteneon-greencool-gray-m2742a0jt-a11.html,"['MORELIA NEO IV Β ELITE ', ' Scarpe da calcio con tacchetti ', ' white/neon green/cool gray']",MORELIA NEO IV Β ELITE , Scarpe da calcio con tacchetti , white/neon green/cool gray
Scarpe Sportive Uomo Mizuno,MIZUNO,MIZUNO Α II PRO - Scarpe da calcetto con tacchetti - galaxy silver/gold coloured,"159,99","159,99",https://www.zalando.it/mizuno-ii-pro-scarpe-da-calcetto-con-tacchetti-galaxy-silvergold-coloured-m2742a0jw-d11.html,"['MIZUNO Α II PRO ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver/gold coloured']",MIZUNO Α II PRO , Scarpe da calcetto con tacchetti , galaxy silver/gold coloured
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE MIRAGE 5 UNISEX - Scarpe da pallamano - mint/black/blue,"127,99","159,99",https://www.zalando.it/mizuno-sneakers-basse-mintblackblue-m2744a00q-m11.html,"['WAVE MIRAGE 5 UNISEX ', ' Scarpe da pallamano ', ' mint/black/blue']",WAVE MIRAGE 5 UNISEX , Scarpe da pallamano , mint/black/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE VOLTAGE 2 MID - Scarpe da pallavolo - white/blue,"116,99","129,99",https://www.zalando.it/mizuno-wave-voltage-2-mid-scarpe-da-pallavolo-whiteblue-m2742a0ie-a12.html,"['WAVE VOLTAGE 2 MID ', ' Scarpe da pallavolo ', ' white/blue']",WAVE VOLTAGE 2 MID , Scarpe da pallavolo , white/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,THUNDER BLADE Z - Scarpe da pallavolo - black/neon flame/peacock blue,"71,99","79,99",https://www.zalando.it/mizuno-thunder-blade-z-scarpe-da-pallavolo-blackneon-flamepeacock-blue-m2742a0lh-q11.html,"['THUNDER BLADE Z ', ' Scarpe da pallavolo ', ' black/neon flame/peacock blue']",THUNDER BLADE Z , Scarpe da pallavolo , black/neon flame/peacock blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EQUATE 9 - Scarpe da corsa su strada - dark blue/mint,"129,99","129,99",https://www.zalando.it/mizuno-wave-equate-9-scarpe-da-corsa-su-strada-dark-bluemint-m2742a0l6-k11.html,"['WAVE EQUATE 9 ', ' Scarpe da corsa su strada ', ' dark blue/mint']",WAVE EQUATE 9 , Scarpe da corsa su strada , dark blue/mint
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE PHANTOM 3 UNISEX - Scarpe da pallamano - mint/black/blue,"98,99","109,99",https://www.zalando.it/mizuno-wave-phantom-3-unisex-scarpe-da-pallamano-mintblackblue-m2744a00r-m11.html,"['WAVE PHANTOM 3 UNISEX ', ' Scarpe da pallamano ', ' mint/black/blue']",WAVE PHANTOM 3 UNISEX , Scarpe da pallamano , mint/black/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,BREAK SHOT 5 PADEL - Scarpe da padel - anthracite/mottled red/blue,"71,99","79,99",https://www.zalando.it/mizuno-break-shot-5-padel-scarpe-da-padel-anthracitemottled-redblue-m2742a0lc-q11.html,"['BREAK SHOT 5 PADEL ', ' Scarpe da padel ', ' anthracite/mottled red/blue']",BREAK SHOT 5 PADEL , Scarpe da padel , anthracite/mottled red/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA II ELITE - Scarpe da calcetto con tacchetti - white/neon green/galaxy silver,"103,99","159,99",https://www.zalando.it/mizuno-morelia-ii-elite-scarpe-da-calcetto-con-tacchetti-whiteneon-greengalaxy-silver-m2742a0jr-a11.html,"['MORELIA II ELITE ', ' Scarpe da calcetto con tacchetti ', ' white/neon green/galaxy silver']",MORELIA II ELITE , Scarpe da calcetto con tacchetti , white/neon green/galaxy silver
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE STEALTH NEO 2 - Scarpe da pallamano - neo lime/black/splish splash,"152,99","169,99",https://www.zalando.it/mizuno-wave-stealth-neo-2-scarpe-da-pallamano-neo-limeblacksplish-splash-m2742a0if-m11.html,"['WAVE STEALTH NEO 2 ', ' Scarpe da pallamano ', ' neo lime/black/splish splash']",WAVE STEALTH NEO 2 , Scarpe da pallamano , neo lime/black/splish splash
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE ENFORCE TOUR ALLCOURT - Scarpe da tennis per tutte le superfici - white neo mint vintage indigo,"127,99","159,99",https://www.zalando.it/mizuno-wave-enforce-tour-allcourt-scarpe-da-tennis-per-tutte-le-superfici-white-neo-mint-vintage-indigo-m2742a0ld-a11.html,"['WAVE ENFORCE TOUR ALLCOURT ', ' Scarpe da tennis per tutte le superfici ', ' white neo mint vintage indigo']",WAVE ENFORCE TOUR ALLCOURT , Scarpe da tennis per tutte le superfici , white neo mint vintage indigo
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EXCEED TOUR 6 ALLCOURT - Scarpe da tennis per tutte le superfici - white/india ink/neo mint,"126,99","149,99",https://www.zalando.it/mizuno-wave-exceed-tour-6-allcourt-scarpe-da-tennis-per-tutte-le-superfici-whiteindia-inkneo-mint-m2742a0jf-a11.html,"['WAVE EXCEED TOUR 6 ALLCOURT ', ' Scarpe da tennis per tutte le superfici ', ' white/india ink/neo mint']",WAVE EXCEED TOUR 6 ALLCOURT , Scarpe da tennis per tutte le superfici , white/india ink/neo mint
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE DIMENSION MID - Scarpe da pallavolo - white/blue,"98,99","109,99",https://www.zalando.it/mizuno-wave-dimension-mid-scarpe-da-pallavolo-whiteblue-m2742a0fd-a15.html,"['WAVE DIMENSION MID ', ' Scarpe da pallavolo ', ' white/blue']",WAVE DIMENSION MID , Scarpe da pallavolo , white/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - black/white/evening primrose,"159,99","159,99",https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-blackwhiteevening-primrose-m2742a0ja-q12.html,"['WAVE RIDER 28 ', ' Scarpe da corsa su strada ', ' black/white/evening primrose']",WAVE RIDER 28 , Scarpe da corsa su strada , black/white/evening primrose
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE ENFORCE TOUR 2 - Scarpe da padel - salute/hibiscus/peacock blue,"143,99","159,99",https://www.zalando.it/mizuno-wave-enforce-tour-2-scarpe-da-padel-salutehibiscuspeacock-blue-m2742a0le-q11.html,"['WAVE ENFORCE TOUR 2 ', ' Scarpe da padel ', ' salute/hibiscus/peacock blue']",WAVE ENFORCE TOUR 2 , Scarpe da padel , salute/hibiscus/peacock blue
